,loss,mae,mse,val_loss,val_mae,val_mse
102,2.906360872326389,1.3608084,2.9063609,1.6999009251594543,1.0783805,1.7881941
103,2.7955874982216056,1.3348483,2.7955875,1.2543114721775055,0.967788,1.6046379
104,2.857566265004968,1.3541819,2.857566,1.3402719795703888,0.9772259,1.725842
105,2.7643508554569314,1.323521,2.7643504,1.607543408870697,1.0457976,1.7024881
106,2.7666319081825868,1.3278209,2.7666316,1.6186168789863586,1.0239296,1.6755868
107,2.6713112567861876,1.3137232,2.6713114,1.3284740149974823,0.99925363,1.6101389
108,2.6505590582650806,1.2973026,2.6505587,2.0875277519226074,1.0630313,1.7306362
109,2.5893818086811473,1.2761415,2.5893817,4.017622470855713,1.7524788,4.0665393
110,2.5837892322904534,1.2796258,2.5837886,2.4105803966522217,1.3574992,2.4819148
111,2.654265703426467,1.3054805,2.6542666,1.2954782247543335,0.93388647,1.4699743
112,2.5911575515591907,1.2856408,2.5911577,1.175765335559845,0.92135817,1.444987
113,2.5049621692843855,1.2669803,2.5049622,1.9804267883300781,1.1653858,1.9903542
114,2.5258739612523526,1.2610539,2.5258737,3.6700668334960938,1.6018866,3.3422313
115,2.4976002390659047,1.2637358,2.4975996,1.753344714641571,0.9888055,1.5221688
116,2.413692680852754,1.2288303,2.4136932,1.2053608894348145,1.0064751,1.5517057
117,2.481544967947735,1.2548676,2.4815457,1.46202152967453,0.85667086,1.3246672
118,2.3926571108519084,1.2439665,2.392656,1.539442241191864,1.0379041,1.6774684
119,2.3720833223076565,1.2322111,2.3720834,1.4832388758659363,1.0349631,1.6618421
120,2.369594274236569,1.2218031,2.369594,2.781232237815857,1.5535725,3.2415268
121,2.3634114052568163,1.2226774,2.3634117,1.4015271067619324,0.8340676,1.2828104
122,2.3726123936829113,1.2223748,2.3726127,1.9249069690704346,1.1643984,1.9286098
123,2.3510864408952847,1.2259377,2.3510869,1.7772966623306274,1.0240501,1.5945717
124,2.2947061987268547,1.1994075,2.2947068,1.3579495549201965,0.8451624,1.2407944
125,2.3026326168032867,1.2071416,2.3026323,4.9919679164886475,1.8148212,4.5283585
126,2.2098228310249626,1.176202,2.2098227,1.4703070521354675,0.8301232,1.2532474
127,2.286827951610561,1.1984624,2.2868283,1.1530643105506897,0.8169962,1.2210417
128,2.1639481052638048,1.1755214,2.1639473,1.9839533567428589,1.2039253,2.0242882
129,2.215556025889421,1.1865554,2.215556,3.1046836376190186,1.6256458,3.5374339
130,2.1912708906013343,1.1732142,2.1912706,3.3533406257629395,1.6202679,3.5284305
131,2.1569472351185386,1.1761974,2.1569474,1.6643100380897522,1.0724888,1.5802636
132,2.2323495572107652,1.1934326,2.23235,1.8042783737182617,1.0932543,1.7402871
133,2.0928543531114148,1.1468046,2.0928538,1.5023002624511719,0.7879103,1.123893
134,2.1593373975169565,1.1735597,2.1593373,1.4183459281921387,0.9348985,1.2971401
135,2.106478329333994,1.1418031,2.106478,2.137792944908142,1.2210516,2.077921
136,2.057148250322493,1.1328804,2.0571487,1.8541675209999084,1.1111852,1.7648777
